Borrower Name,Lender Name / Role,Sector,RIC,Tranche Type,Issue Date,Maturity Date,Discounted Spread,Tranche Amount (USD),Tranche Amount,Tranche Currency,Market Segment,Region,Market of Issue,Domicile,Specific Purpose,Base Rate / Margin,Seniority,Secured,Tenor,Tranche CUSIP,Ticker,SIC,NAIC,Contributed Pricing Source,LIN,Sponsored,Price (Ask),Price (Bid),Price (Mid),Pricing Source,Yield (to 3 yrs)
NWE FINANCE PTY LTD,,,,Revolver/Term Loan,04-06-23,04-06-26,--,"10,000,000","10,000,000",US Dollar,,Asia,Australia,,Capital expenditure,,Senior,Yes,36,,,,,,,No,--,--,--,,--
NWE FINANCE PTY LTD,,,,Revolver/Term Loan,04-06-23,04-06-26,--,"50,000,000","50,000,000",US Dollar,,Asia,Australia,,Capital expenditure,,Senior,Yes,36,,,,,,,No,--,--,--,,--
NWE FINANCE PTY LTD,,,,Revolver/Term Loan,04-06-23,04-06-26,--,"39,006,124","60,000,000",Australian Dollar,,Asia,Australia,,Capital expenditure,,Senior,Yes,36,,,,,,,No,--,--,--,,--
NWE FINANCE PTY LTD,,,,Revolver/Term Loan,04-06-23,04-06-26,--,"26,000,000","26,000,000",US Dollar,,Asia,Australia,,Capital expenditure,,Senior,Yes,36,,,,,,,No,--,--,--,,--
BANCO COOPERATIVO SICREDI S/A,European Investment Bank [EIB]:Arranger,Banks (NEC),,Other Loan,05-06-23,,--,"208,339,844","200,000,000",Euro,,Latin America,Brazil,Brazil,General Purpose,,Senior,,--,,SICRD,"Finance, Insurance and Real Estate\Depository Institutions\Credit Unions\Credit Unions, Federally Chartered",Commercial Banking,,,No,--,--,--,,--
BUANA FINANCE TBK PT,PT Bank Danamon Indonesia Tbk:Sole lender,Consumer Lending (NEC),,Term Loan,05-06-23,05-06-27,--,"31,505,986","500,000,000,000",Indonesian Rupiah,,Asia,Indonesia,Indonesia,General Purpose,,Senior,,48,,BBLD,"Finance, Insurance and Real Estate\Nondepository Credit Institutions\Business Credit Institutions\Miscellaneous Business Credit Institutions",Sales Financing,,,No,--,--,--,,--
LAZARD GROUP LLC,"Bank of New York Mellon:Participant, Citibank:Admin agent, Northern Trust Co:Participant",Investment Management & Fund Operators (NEC),,Revolver/Line >= 1 Yr.,06-06-23,06-06-28,--,"200,000,000","200,000,000",US Dollar,Investment Grade,North America,United States,United States,General Purpose,,Senior,No,60,52107FAK5,LAZLDG,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Investment Advice",Portfolio Management and Investment Advice,,,No,--,--,--,,--
SUN KING FINANCING LTD,"ABSA Bank Ltd [South Africa]:Participant, British International Investment:Participant, Citibank NA:Participant, Citi:Arranger, Eastern and Southern African Trade and Development Bank:Participant, Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden NV [FMO]:Participant, Norfund:Participant, Stanbic Bank Kenya Limited:Participant",,,Revolver/Line >= 1 Yr.,06-06-23,22-05-27,--,--,"17,810,000,000",Kenyan Shilling,"Green Loan, Sustainable Finance Loans, Social Loan",EMEA,Kenya,Kenya,Working capital,,Senior,,47,,,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Electric Services\Electric Services",,,,No,--,--,--,,--
AVILEASE FINANCE 2 IRELAND LTD,"Abu Dhabi Commercial Bank PJSC [ADCB]:Mandated Lead arranger, Alawwal Bank:Mandated Lead arranger, Banque Saudi Fransi SJSC [Al Bank Al Saudi Al Fransi]:Mandated Lead arranger, Citibank NA:Mandated Lead arranger, First Abu Dhabi Bank [ex-First Gulf Bank PJSC]:Mandated Lead arranger, Gulf International Bank BSC [GIB]:Mandated Lead arranger, HSBC Bank Plc:Mandated Lead arranger, Riyad Bank [RB]:Mandated Lead arranger, Saudi Investment Bank [SAIB]:Mandated Lead arranger",Industrial Equipment Rental,,Other Loan,07-06-23,07-06-28,--,"850,000,000","850,000,000",US Dollar,,EMEA,Saudi Arabia,Cayman Islands,General Purpose,,Senior,No,60,,AVLFI,"Transportation, Communications, Electric, Gas, And Sanitary Services\Transportation By Air\Airports, Flying Fields, and Airport Terminal Services\Airports, Flying Fields, and Airport Terminal Services","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",,,No,--,--,--,,--
PAYPAL HOLDINGS INC,"BNP Paribas SA:Documentation, Bank of America NA:Syndication agent, Bank of Nova Scotia:Documentation, Barclays Bank Plc:Documentation, Citibank NA:Syndication agent, Deutsche Bank AG:Syndication agent, Goldman Sachs & Co:Syndication agent, HSBC:Documentation, JP Morgan Chase Bank NA:Admin agent, MUFG Bank Ltd:Documentation, Morgan Stanley:Documentation, Santander Bank NA:Participant, Toronto Dominion Bank:Documentation, Wells Fargo Bank NA:Syndication agent",Transaction & Payment Services,,Revolver/Line >= 1 Yr.,07-06-23,07-06-28,--,"1,000,000,000","1,000,000,000",US Dollar,Investment Grade,North America,United States,United States,General Purpose,,Senior,,60,70451BAL6,PYPL,"Finance, Insurance and Real Estate\Depository Institutions\Functions Related To Depository Banking\Functions Related To Depository Banking, Not Elsewhere Classified",Software Publishers,,,No,--,--,--,,--
BREAD FINANCIAL HOLDINGS INC,"Associated Bank NA:Participant, BMO Harris Bank NA:Arranger, BNP Paribas SA:Arranger, Bank of Nova Scotia:Arranger, Cadence Bank NA:Participant, Canadian Imperial Bank of Commerce:Arranger, Fifth Third Bank:Documentation, JP Morgan Chase Bank NA:Admin agent, Keybanc Capital Markets:Arranger, Northern Trust Co:Participant, Royal Bank of Canada:Arranger, Truist Financial:Arranger, US Bank NA:Arranger",Consumer Lending (NEC),,Delay Draw Term Loan,07-06-23,15-06-26,--,"575,000,000","575,000,000",US Dollar,"Leveraged, Non Investment Grade",North America,United States,United States,General Purpose,,Senior,No,36,,BFH,"Services\Business Services\Computer Programming, Data Processing, and Other Computer Related Services\Computer Processing and Data Preparation and Processing Services",Consumer Lending,,,No,--,--,--,,--
ENERGYAUSTRALIA FINANCE PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Bank of China Ltd:Mandated Lead arranger, Commonwealth Bank of Australia:Arranger, DBS Bank Ltd:Lead arranger, HSBC:Mandated Lead arranger, Mega International Commercial Bank Co Ltd:Arranger, National Australia Bank Ltd:Mandated Lead arranger, Sumitomo Mitsui Banking Corp:Mandated Lead arranger, Westpac Banking Corp:Arranger",Corporate Financial Services (NEC),,Revolver/Line >= 1 Yr.,07-06-23,07-06-26,--,"409,564,302","630,000,000",Australian Dollar,,Asia,Australia,Australia,Working capital,BBSY + 165,Senior,,36,,ENEAF,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Security Brokers, Dealers, and Flotation Companies\Security Brokers, Dealers, and Flotation Companies",Other Financial Vehicles,,,No,--,--,--,,--
PAYPAL HOLDINGS INC,"BNP Paribas SA:Documentation, Bank of America NA:Syndication agent, Bank of Nova Scotia:Documentation, Barclays Bank Plc:Documentation, Citibank NA:Syndication agent, Deutsche Bank AG:Syndication agent, Goldman Sachs & Co:Syndication agent, HSBC:Documentation, JP Morgan Chase Bank NA:Admin agent, MUFG Bank Ltd:Documentation, Morgan Stanley:Documentation, Santander Bank NA:Participant, Toronto Dominion Bank:Documentation, Wells Fargo Bank NA:Syndication agent",Transaction & Payment Services,,Revolver/Line >= 1 Yr.,07-06-23,07-06-28,--,"200,000,000","200,000,000",US Dollar,Investment Grade,North America,United States,United States,General Purpose,,Senior,,60,70451BAM4,PYPL,"Finance, Insurance and Real Estate\Depository Institutions\Functions Related To Depository Banking\Functions Related To Depository Banking, Not Elsewhere Classified",Software Publishers,,,No,--,--,--,,--
PAYPAL HOLDINGS INC,"BNP Paribas SA:Documentation, Bank of America NA:Syndication agent, Bank of China Ltd:Participant, Bank of Nova Scotia:Documentation, Barclays Bank Plc:Documentation, Citibank NA:Syndication agent, DBS Bank Ltd:Participant, Deutsche Bank AG:Syndication agent, Goldman Sachs & Co:Syndication agent, HSBC:Documentation, JP Morgan Chase Bank NA:Admin agent, MUFG Bank Ltd:Documentation, Mizuho Bank Ltd:Participant, Morgan Stanley:Documentation, National Australia Bank Ltd:Participant, OCBC Bank:Participant, Royal Bank of Canada:Participant, Santander Bank NA:Participant, Standard Chartered Bank Plc [SCB]:Participant, State Street Bank & Trust Co:Participant, Sumitomo Mitsui Banking Corp:Participant, Toronto Dominion Bank:Documentation, Wells Fargo Bank NA:Syndication agent",Transaction & Payment Services,,Revolver/Line >= 1 Yr.,07-06-23,07-06-28,--,"3,800,000,000","3,800,000,000",US Dollar,Investment Grade,North America,United States,United States,General Purpose,,Senior,,60,70451BAK8,PYPL,"Finance, Insurance and Real Estate\Depository Institutions\Functions Related To Depository Banking\Functions Related To Depository Banking, Not Elsewhere Classified",Software Publishers,,,No,--,--,--,,--
AVILEASE FINANCE 2 IRELAND LTD,"Al Rajhi Banking & Investment Corporation SJSC:Mandated Lead arranger, Alawwal Bank:Mandated Lead arranger, Bank Aljazira JSC:Mandated Lead arranger, Citibank NA:Mandated Lead arranger, Dubai Islamic Bank PSJ:Mandated Lead arranger, First Abu Dhabi Bank [ex-First Gulf Bank PJSC]:Mandated Lead arranger, Gulf International Bank BSC [GIB]:Mandated Lead arranger, Riyad Bank [RB]:Mandated Lead arranger, Saudi National Bank SJSC:Mandated Lead arranger",Industrial Equipment Rental,,Other Loan,07-06-23,07-06-28,--,"250,000,000","250,000,000",US Dollar,,EMEA,Saudi Arabia,Cayman Islands,General Purpose,,Senior,No,60,,AVLFI,"Transportation, Communications, Electric, Gas, And Sanitary Services\Transportation By Air\Airports, Flying Fields, and Airport Terminal Services\Airports, Flying Fields, and Airport Terminal Services","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",,,No,--,--,--,,--
LUJIANG COUNTY URBAN RENEWAL CONSTRUCTION INVESTMENT CO LTD,"Bank of China Ltd:Mandated Lead arranger, Bank of Communications Co Ltd:Participant, China Construction Bank [CCB]:Participant, Huishang Bank:Participant, Postal Savings Bank of China:Participant",Investment Management & Fund Operators (NEC),,Term Loan,07-06-23,07-06-48,--,"717,686,840","5,200,000,000",Chinese Yuan,,Asia,China (Mainland),China (Mainland),Capital expenditure,,Senior,,300,,LJCCIA,Construction\Building Construction- Generalcontractors and Operative Builders\Operative Builders\Operative Builders,Miscellaneous Intermediation,,,No,--,--,--,,--
GLENGARRY FUNDING LP,"Bank of Montreal:Admin agent, Equitable Bank:Participant",Mutual Funds (NEC),,Revolver/Line >= 1 Yr.,08-06-23,08-06-25,--,"35,765,379","50,000,000",Canadian Dollar,,North America,Canada,Canada,General Purpose,,Senior,,24,,GLRYF,"Finance, Insurance and Real Estate\Nondepository Credit Institutions\Business Credit Institutions\Miscellaneous Business Credit Institutions",Other Financial Vehicles,,,No,--,--,--,,--
YULON FINANCE CORP,"Bank of Taiwan:Mandated Lead arranger, Chang Hwa Commercial Bank Ltd:Participant, Far Eastern International Bank:Participant, First Commercial Bank:Mandated Lead arranger, Hua Nan Commercial Bank Ltd:Mandated Lead arranger, Mega International Commercial Bank Co Ltd:Co-arranger, Metropolitan Bank & Trust Co:Participant, Mizuho Bank Ltd:Mandated Lead arranger, Shanghai Commercial & Savings Bank:Participant, Taichung Commercial Bank:Participant",Consumer Lending (NEC),,Revolver/Line >= 1 Yr.,08-06-23,08-06-26,--,"179,882,155","5,857,142,857",Taiwanese Dollar,"Sustainability Linked Loans, Sustainable Finance Loans",Asia,Taiwan,Taiwan,Working capital,68 + 68,Senior,,36,,TWACC,"Services\Automotive Repair, Services, and Parking\Automotive Rental and Leasing, Without Drivers\Passenger Car Leasing",Sales Financing,,,No,--,--,--,,--
YULON FINANCE CORP,"Bank of Taiwan:Mandated Lead arranger, Chang Hwa Commercial Bank Ltd:Participant, Far Eastern International Bank:Participant, First Commercial Bank:Mandated Lead arranger, Hua Nan Commercial Bank Ltd:Mandated Lead arranger, Mega International Commercial Bank Co Ltd:Co-arranger, Metropolitan Bank & Trust Co:Participant, Mizuho Bank Ltd:Mandated Lead arranger, Shanghai Commercial & Savings Bank:Participant, Taichung Commercial Bank:Participant",Consumer Lending (NEC),,Guarantee,08-06-23,08-06-26,--,"71,952,862","2,342,857,143",Taiwanese Dollar,"Sustainability Linked Loans, Sustainable Finance Loans",Asia,Taiwan,Taiwan,Working capital,,Senior,,36,,TWACC,"Services\Automotive Repair, Services, and Parking\Automotive Rental and Leasing, Without Drivers\Passenger Car Leasing",Sales Financing,,,No,--,--,--,,--
YULON FINANCE CORP,"Bank of Taiwan:Mandated Lead arranger, Chang Hwa Commercial Bank Ltd:Participant, Far Eastern International Bank:Participant, First Commercial Bank:Mandated Lead arranger, Hua Nan Commercial Bank Ltd:Mandated Lead arranger, Mega International Commercial Bank Co Ltd:Co-arranger, Metropolitan Bank & Trust Co:Participant, Mizuho Bank Ltd:Mandated Lead arranger, Shanghai Commercial & Savings Bank:Participant, Taichung Commercial Bank:Participant",Consumer Lending (NEC),,Guarantee,08-06-23,08-06-26,--,"76,778,969","2,500,000,000",Taiwanese Dollar,"Sustainability Linked Loans, Sustainable Finance Loans",Asia,Taiwan,Taiwan,Working capital,,Senior,,36,,TWACC,"Services\Automotive Repair, Services, and Parking\Automotive Rental and Leasing, Without Drivers\Passenger Car Leasing",Sales Financing,,,No,--,--,--,,--
COIMA SGR SPA,"Banco BPM SpA:Mandated Lead arranger, Bayerische Landesbank GZ [BayernLB]:Mandated Lead arranger, Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]:Mandated Lead arranger, ING:Mandated Lead arranger",Investment Management & Fund Operators (NEC),,Term Loan,12-06-23,12-06-28,--,"20,878,352","20,042,592",Euro,"Green Loan, Sustainable Finance Loans, Investment Grade",EMEA,Italy,Italy,General Purpose,,Senior,,60,,COIMGO,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Miscellaneous Investing\Real Estate Investment Trusts",Portfolio Management and Investment Advice,,,No,--,--,--,,--
COIMA SGR SPA,"Banco BPM SpA:Mandated Lead arranger, Bayerische Landesbank GZ [BayernLB]:Mandated Lead arranger, Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]:Mandated Lead arranger, ING:Mandated Lead arranger",Investment Management & Fund Operators (NEC),,Term Loan,12-06-23,12-06-28,--,"121,834,441","116,957,408",Euro,"Green Loan, Sustainable Finance Loans, Investment Grade",EMEA,Italy,Italy,General Purpose,,Senior,,60,,COIMGO,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Miscellaneous Investing\Real Estate Investment Trusts",Portfolio Management and Investment Advice,,,No,--,--,--,,--
ASSEMBLIN HOLDING AB,"Deutsche Bank AG:Mandated Lead arranger, Nordea Bank AB:Mandated Lead arranger",Financial & Commodity Market Operators & Service Providers (NEC),,Revolver/Line >= 1 Yr.,13-06-23,31-03-29,--,"500,015,625","480,000,000",Euro,"Sponsored, Leveraged",EMEA,Sweden,Sweden,General Purpose,,Senior,Yes,69,,IGLUXS,"Finance, Insurance and Real Estate\Nondepository Credit Institutions\Business Credit Institutions\Miscellaneous Business Credit Institutions",Miscellaneous Financial Investment Activities,,,Yes,--,--,--,,--
IBERIAN SMART FINANCIAL AGRO SOCIEDAD LTDA,"Banco Bilbao Vizcaya Argentaria SA [BBVA]:Participant, Banco Santander SA:Mandated Lead arranger, Caixabank SA:Participant",Fishing & Farming (NEC),,Term Loan,13-06-23,13-06-35,--,"7,430,441","7,133,000",Euro,Investment Grade,EMEA,Spain,Spain,General Purpose,,Senior,,144,,IBERA,"Agriculture, Forestry and Fishing\Agricultural Services\Farm Labor and Management Services\Farm Management Services",All Other Miscellaneous Crop Farming,,,No,--,--,--,,--
TSG SOLUTIONS HOLDING,"BNP Paribas SA:Participant, Bank of Ireland Ltd:Participant, HSBC Bank Plc:Participant, JP Morgan Chase & Co:Participant",Investment Management & Fund Operators (NEC),,Revolver/Line >= 1 Yr.,14-06-23,31-03-29,--,"52,084,961","50,000,000",Euro,"Green Loan, Sustainable Finance Loans, Leveraged",EMEA,France,France,General Purpose,,Senior,,69,,TSGSL,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Investment Advice",Portfolio Management and Investment Advice,,,No,--,--,--,,--
NATIONAL STORAGE FINANCE PTY LTD,,Business Support Services (NEC),,Revolver/Term Loan,14-06-23,,--,"130,020,413","200,000,000",Australian Dollar,,Asia,Australia,Australia,General Purpose,,Senior,,--,,NTSFI,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Miscellaneous Investing\Real Estate Investment Trusts",All Other Business Support Services,,,No,--,--,--,,--
INFRATIL LTD,,Investment Management,,Revolver/Term Loan,14-06-23,,--,"320,815,688","550,000,000",New Zealand Dollar,M&A,Asia,New Zealand,New Zealand,Acquisition,,Senior,,--,,IFT,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Electric Services\Electric Services",Miscellaneous Financial Investment Activities,,,No,--,--,--,,--
VICTORIA POWER NETWORKS (FINANCE) PTY LTD,"Bank of China (Hong Kong) Ltd:Mandated Lead arranger, China Construction Bank (Asia) Ltd:Mandated Lead arranger, Commonwealth Bank of Australia:Mandated Lead arranger, HSBC:Mandated Lead arranger, JP Morgan:Mandated Lead arranger, MUFG Bank Ltd:Mandated Lead arranger, Westpac Banking Corp:Mandated Lead arranger",Electric Utilities (NEC),,Revolver/Line >= 1 Yr.,14-06-23,14-06-26,--,"97,515,310","150,000,000",Australian Dollar,,Asia,Australia,Australia,General Purpose,BBSY + 85,Senior,,36,,CKSPHR,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Electric Services\Electric Services",Other Financial Vehicles,,,No,--,--,--,,--
NANJING FINANCIAL CITY CONSTRUCTION DEVELOPMENT CO LTD,"Bank of China Jiangsu Branch:Mandated Lead arranger, Bank of Communications Co Ltd:Participant, Bank of Nanjing Nanjing Branch:Mandated Lead arranger, Bank of Nanjing:Participant, China Minsheng Banking Corp:Participant, Industrial & Commercial Bank of China Ltd [ICBC]:Participant, Jiangsu Zijin Rural Commercial Bank Co Ltd:Participant",Office Real Estate Rental & Development,,Term Loan,14-06-23,14-06-26,--,"248,430,060","1,800,000,000",Chinese Yuan,,Asia,China (Mainland),China (Mainland),Capital expenditure,,Senior,,36,,NJGVGZ,"Finance, Insurance and Real Estate\Real Estate\Real Estate Operators (Except Developers) and Lessors\Operators of Nonresidential Buildings",Commercial and Institutional Building Construction,,,No,--,--,--,,--
VICTORIA POWER NETWORKS (FINANCE) PTY LTD,"Bank of China (Hong Kong) Ltd:Mandated Lead arranger, China Construction Bank (Asia) Ltd:Mandated Lead arranger, Commonwealth Bank of Australia:Mandated Lead arranger, HSBC:Mandated Lead arranger, JP Morgan:Mandated Lead arranger, MUFG Bank Ltd:Mandated Lead arranger, Westpac Banking Corp:Mandated Lead arranger",Electric Utilities (NEC),,Revolver/Line >= 1 Yr.,14-06-23,14-06-28,--,"130,020,413","200,000,000",Australian Dollar,,Asia,Australia,Australia,General Purpose,BBSY + 105,Senior,,60,,CKSPHR,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Electric Services\Electric Services",Other Financial Vehicles,,,No,--,--,--,,--
RED ARTS CAPITAL OPPORTUNITY FUND I LP,"Canadian Imperial Bank of Commerce:Admin agent, Northern Trust:Participant",Closed End Funds,,Revolver/Line >= 1 Yr.,14-06-23,28-04-25,--,"85,000,000","85,000,000",US Dollar,Non Investment Grade,North America,United States,United States,General Purpose,,Senior,,22,,REAOP,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Miscellaneous Investing\Real Estate Investment Trusts",Other Financial Vehicles,,,No,--,--,--,,--
TAIBANG BIOLOGICAL LTD,"Ping An Bank:Mandated Lead arranger, Shanghai Pudong Development Bank:Mandated Lead arranger",Investment Management & Fund Operators (NEC),,Term Loan,15-06-23,14-04-28,--,"400,000,000","400,000,000",US Dollar,,Asia,China (Mainland),British Virgin Islands,General Purpose,,Senior,,58,,CBPOTB,"Manufacturing\Chemicals and Allied Products\Drugs\Biological Products, Except Diagnostic Substances",Miscellaneous Intermediation,,,No,--,--,--,,--
JAMES HARDIE INTERNATIONAL FINANCE DAC,"Bank of America NA:Syndication agent, HSBC Bank Plc:Admin agent, US Bank NA:Documentation, Wells Fargo Bank NA:Syndication agent",Cement & Concrete Manufacturing,,Standby Letter of Credit,15-06-23,14-12-26,--,"25,000,000","25,000,000",US Dollar,Non Investment Grade,North America,United States,Ireland,General Purpose,,Senior,,42,,,"Durable Goods\Lumber and Other Construction Materials\Brick, Stone, and Related Construction Materials",Other Financial Vehicles,,,No,--,--,--,,--
JAMES HARDIE INTERNATIONAL FINANCE DAC,"Bank of America NA:Syndication agent, Barclays Bank Plc:Participant, Commonwealth Bank:Participant, HSBC Bank Plc:Admin agent, JP Morgan Chase Bank NA:Participant, Landesbank Baden-Wurttemberg [ex-Sudwestdeutsche Landesbank]:Participant, US Bank NA:Documentation, Wells Fargo Bank NA:Syndication agent",Cement & Concrete Manufacturing,,Revolver/Line >= 1 Yr.,15-06-23,21-12-26,--,"600,000,000","600,000,000",US Dollar,Non Investment Grade,North America,United States,Ireland,General Purpose,,Senior,,42,,,"Durable Goods\Lumber and Other Construction Materials\Brick, Stone, and Related Construction Materials",Other Financial Vehicles,,,No,--,--,--,,--
HHP FINANCE LTD,"Agricultural Bank of China Hong Kong Branch:Arranger, BNP Paribas SA:Arranger, Bank of China (Hong Kong) Ltd:Mandated Lead arranger, Bank of Shanghai (Hong Kong) Ltd:Arranger, China Minsheng Banking Corp Hong Kong:Mandated Lead arranger, DBS Bank Ltd:Mandated Lead arranger, Hang Seng Bank Ltd:Arranger, Industrial & Commercial Bank of China (Asia) Ltd:Mandated Lead arranger, Industrial & Commercial Bank of China Macau:Lead arranger, Oversea-Chinese Banking Corp Ltd [OCBC]:Mandated Lead arranger",Corporate Financial Services (NEC),,Revolver/Line >= 1 Yr.,16-06-23,16-06-28,--,"616,641,616","4,800,000,000",Hong Kong Dollar,,Asia,Hong Kong,Hong Kong,General Purpose,HIBOR + 87.5,Senior,Yes,60,,HOPEWH,"Transportation, Communications, Electric, Gas, And Sanitary Services\Water Transportation\Services Incidental To Water Transportation\Marine Cargo Handling",Other Financial Vehicles,,,No,--,--,--,,"10,150.00"
KONECRANES FINANCE OY,,Business Support Services (NEC),,Revolver/Line >= 1 Yr.,16-06-23,16-06-28,--,"364,594,727","350,000,000",Euro,"Sustainability Linked Loans, Sustainable Finance Loans, Investment Grade",EMEA,Finland,Finland,General Purpose,,Senior,,60,,KCRAF,"Manufacturing\Industrial and Commercial Machinery and Computer Equipment\Construction, Mining, and Materials Handling Machinery and Equipment\Overhead Traveling Cranes, Hoists, and Monorail Systems",All Other Business Support Services,,,No,--,--,--,,--
EY GLOBAL FINANCE INC,"Bank of America NA:Arranger, Barclays Bank Plc:Arranger, Citibank NA:Arranger, Goldman Sachs & Co:Arranger, HSBC Bank Plc:Arranger, JP Morgan Chase Bank NA:Admin agent, Lloyds Bank:Arranger, PNC Bank NA:Arranger, Santander Bank NA:Arranger, Truist Financial:Arranger, Wells Fargo Bank NA:Arranger",Corporate Financial Services (NEC),,Revolver/Line >= 1 Yr.,16-06-23,16-06-26,--,"700,000,000","700,000,000",US Dollar,Non Investment Grade,North America,United States,United States,General Purpose,,Senior,,36,,EYGLO,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Miscellaneous Investing\Real Estate Investment Trusts",Other Financial Vehicles,,,No,--,--,--,,--
HHP FINANCE LTD,"Agricultural Bank of China Hong Kong Branch:Arranger, BNP Paribas SA:Arranger, Bank of China (Hong Kong) Ltd:Mandated Lead arranger, Bank of Shanghai (Hong Kong) Ltd:Arranger, China Minsheng Banking Corp Hong Kong:Mandated Lead arranger, DBS Bank Ltd:Mandated Lead arranger, Hang Seng Bank Ltd:Arranger, Industrial & Commercial Bank of China (Asia) Ltd:Mandated Lead arranger, Industrial & Commercial Bank of China Macau:Lead arranger, Oversea-Chinese Banking Corp Ltd [OCBC]:Mandated Lead arranger",Corporate Financial Services (NEC),,Term Loan,16-06-23,16-06-28,--,"616,641,616","4,800,000,000",Hong Kong Dollar,,Asia,Hong Kong,Hong Kong,General Purpose,HIBOR + 87.5,Senior,Yes,60,,HOPEWH,"Transportation, Communications, Electric, Gas, And Sanitary Services\Water Transportation\Services Incidental To Water Transportation\Marine Cargo Handling",Other Financial Vehicles,,,No,--,--,--,,"10,150.00"
HSBC BANK USA NA,"Banco Bilbao Vizcaya Argentaria SA [BBVA]:Mandated Lead arranger, Bank of China (Hong Kong) Ltd:Mandated Lead arranger, Bank of China Jakarta:Arranger, Bank of China Tokyo:Arranger, Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]:Mandated Lead arranger, DZ Bank AG:Mandated Lead arranger, Deutsche Bank AG:Mandated Lead arranger, HSBC:Arranger, Korea Export Import Bank:Mandated Lead arranger, MUFG Bank Ltd:Mandated Lead arranger, Malayan Banking Bhd:Mandated Lead arranger, Mizuho Bank Ltd:Mandated Lead arranger, National Bank of Kuwait SAK [NBK]:Mandated Lead arranger, Oversea-Chinese Banking Corp Ltd [OCBC]:Mandated Lead arranger, PT Bank KEB Hana Indonesia:Mandated Lead arranger, Societe Generale SA:Mandated Lead arranger, Standard Chartered Bank Plc [SCB]:Mandated Lead arranger, Sumitomo Mitsui Banking Corp:Mandated Lead arranger",Corporate Banks,,Term Loan,19-06-23,19-06-37,--,"2,080,000,000","2,080,000,000",US Dollar,,Asia,Indonesia,United States,Capital expenditure,,Senior,,168,,,"Finance, Insurance and Real Estate\Depository Institutions\Commercial Banks\National Commercial Banks",Commercial Banking,,,No,--,--,--,,--
SWVP SCOTTSDALE LLC,"Midfirst Bank:Participant, US Bank NA:Admin agent",Investment Management & Fund Operators (NEC),,Term Loan,20-06-23,20-06-27,--,"110,382,000","110,382,000",US Dollar,Non Investment Grade,North America,United States,United States,Real estate loan,,Senior,,48,,SWVPS,"Finance, Insurance and Real Estate\Real Estate\Real Estate Operators (Except Developers) and Lessors\Operators of Nonresidential Buildings",Miscellaneous Intermediation,,,No,--,--,--,,--
HDFC BANK LTD,"Abu Dhabi Commercial Bank PJSC [ADCB]:Mandated Lead arranger, Mashreqbank psc:Mandated Lead arranger, Mitsubishi UFJ Financial Group Inc:Mandated Lead arranger",Banks (NEC),,Term Loan,20-06-23,20-06-26,--,"600,000,000","600,000,000",US Dollar,Investment Grade,EMEA,United Kingdom,India,General Purpose,,Senior,,36,,HDBK,"Finance, Insurance and Real Estate\Depository Institutions\Commercial Banks\Commercial Banks, Not Elsewhere Classified",Commercial Banking,,,No,--,--,--,,--
VIRTUS INVESTMENT PARTNERS INC,"Bank of America NA:Arranger, Bank of New York Mellon:Documentation, Barclays:Syndication agent, JPMorgan Chase Bank National Association:Arranger, Morgan Stanley:Admin agent, Morgan Stanley:Arranger, Royal Bank of Canada:Syndication agent",Investment Management & Fund Operators (NEC),V0025F019TB4=R,Term Loan B,20-06-23,27-09-28,231.00,"275,000,000","275,000,000",US Dollar,"Institutional, Leveraged, Non Investment Grade",North America,United States,United States,General Purpose,,Senior,Yes,63,,,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Investment Advice",Portfolio Management and Investment Advice,LSTA REFINITIV PRICING,V0025F019TB04,No,100.47,100.00,100.23,LSEG LPC/LSTA Mark-to-Market Pricing - USA,--
